[PARAMETERS]
TAU=25u
NS=32
NSC=32
FR=25.9800011
D1=3u
D2=3u
[ADDITIONAL]
File Name=Data2
PPFILE=two_pulse
DATESTA=18.10.2024
TIMESTA=13:29:37
TTIMEEND=13:29:51
a1=40
a2=40
atn1=6
atn2=0
RecGain=0
RecPh=0
Filter=5000000
ad=1u
[VARIABLES]
[PPFILE]
Event 1:	Ph rst
	Delay:  5u
	F1_PhRst:  1
	F0_PhRst:  1
	RX_Blank:  1
	RX_PhRst:  1
Event 2:	unblank
	Delay:  (pre  = 3u)
	F1_Ampl:  (a1  = 40)
	F1_Atten:  (atn1  = 7)
	F1_Ph:  1D table: ph1
		0 2 0 2  1 3 1 3  2 0 2 0  3 1 3 1
	F1_UnBlank:  1
	RX_Blank:  1
Event 3:	pulse 1
	Delay:  (d1  = 3u)
	F1_Ampl:  (a1  = 40)
	F1_Atten:  (atn1  = 7)
	F1_Ph:  1D table: ph1
		0 2 0 2  1 3 1 3  2 0 2 0  3 1 3 1
	F1_TxGate:  1
	F1_UnBlank:  1
	RX_Blank:  1
Event 4:	delay
	Delay:  (tau  = 35u)
	RX_Blank:  1
Event 5:	unblank
	Delay:  (pre  = 3u)
	F1_Ampl:  (a2  = 40)
	F1_Atten:  (atn2  = 7)
	F1_Ph:  1D table: ph2
		1 1 0 0  2 2 1 1  3 3 2 2  0 0 3 3
	F1_UnBlank:  1
	RX_Blank:  1
Event 6:	pulse 2
	Delay:  (d2  = 3u)
	F1_Ampl:  (a2  = 40)
	F1_Atten:  (atn2  = 7)
	F1_Ph:  1D table: ph2
		1 1 0 0  2 2 1 1  3 3 2 2  0 0 3 3
	F1_TxGate:  1
	F1_UnBlank:  1
	RX_Blank:  1
Event 7:	ringdown
	Delay:  (rd  = 3u)
	RX_Blank:  1
Event 8:	acq delay
	Delay:  (ad  = 15u)
Event 9:	acquire
	Delay:  (Acq. Time  = 204.8u)
	Acq:  1
	Acq_phase:  1D table: ph0
		0 2 2 0  1 3 3 1  2 0 0 2  3 1 1 3
Event 10:	last delay
	Delay:  (Last Delay  = 50m)
Event 11:	
	Delay:  1u
[DATA]
8.625 0.71875
38.25 5.71875
40.125 10.65625
44.96875 13.875
48.28125 16.40625
42.4375 16.8125
45.96875 13.09375
45.6875 6.46875
42.21875 9.34375
37.53125 14.84375
33.25 15.3125
29.625 13.0625
29.84375 20.40625
38.34375 18.96875
49.0 21.8125
37.3125 26.28125
35.71875 22.4375
38.0625 25.40625
31.4375 23.15625
27.75 16.84375
33.96875 13.875
33.53125 14.40625
23.8125 24.25
16.9375 14.40625
20.09375 7.0
32.34375 15.21875
29.59375 22.59375
27.0 19.5625
23.46875 18.75
31.6875 19.4375
27.84375 13.78125
12.21875 13.78125
10.8125 20.375
12.5 18.125
23.5 16.5625
19.4375 18.5
18.71875 6.28125
18.875 15.0
11.96875 12.625
13.90625 13.125
4.8125 22.5625
3.96875 14.375
12.375 9.90625
12.625 12.0625
14.75 19.5625
1.34375 17.4375
6.03125 -0.71875
15.46875 0.09375
10.8125 7.5
20.25 12.03125
19.875 11.84375
0.875 13.03125
-3.28125 13.125
-4.5 8.46875
3.0 0.375
6.03125 -4.96875
7.125 3.4375
6.78125 9.375
2.78125 12.65625
14.5625 8.5625
14.4375 16.375
-0.125 10.9375
5.15625 5.78125
6.84375 5.71875
2.15625 4.90625
-2.40625 4.875
0.15625 9.6875
-1.9375 1.75
0.5625 -3.96875
5.03125 2.5625
1.84375 6.34375
-2.21875 7.46875
8.9375 11.53125
2.84375 10.28125
0.15625 0.53125
10.59375 -1.5625
6.4375 -3.9375
1.46875 -0.71875
-5.0625 16.96875
-5.3125 14.25
3.6875 7.5625
2.96875 5.0
5.6875 5.96875
-3.28125 10.15625
-0.34375 9.4375
-1.5625 9.6875
-7.03125 0.40625
-5.8125 3.0625
0.75 10.03125
2.71875 12.3125
0.71875 9.21875
-6.90625 3.84375
1.875 -8.1875
7.25 -7.28125
3.53125 -2.15625
-2.6875 -1.90625
-1.34375 -1.34375
1.8125 0.46875
-0.90625 -3.3125
14.21875 -1.21875
17.28125 14.125
-1.59375 5.625
-10.9375 -2.65625
-1.21875 0.71875
-5.5 2.46875
-8.21875 4.0
1.78125 9.375
2.46875 -1.71875
-1.25 8.03125
-7.71875 4.53125
1.875 -2.5
-3.25 1.34375
-2.625 0.75
-1.25 1.28125
7.34375 10.03125
0.125 15.1875
-5.0 7.65625
-0.75 4.34375
-2.28125 -5.75
-2.625 0.25
-1.0625 2.96875
7.53125 -8.0
0.28125 -7.5625
-3.5 -8.90625
8.5625 -0.3125
0.90625 -0.8125
-5.6875 -7.40625
-6.09375 8.1875
-6.0 19.21875
1.8125 5.59375
3.8125 -4.4375
0.4375 -3.0
-9.875 4.75
1.0625 -7.53125
14.0 -4.28125
-0.34375 2.8125
7.5625 2.28125
8.375 7.09375
-9.03125 2.5625
-7.4375 4.71875
-5.34375 -6.59375
-1.15625 -16.28125
6.71875 -1.59375
2.84375 5.1875
-1.0 -9.6875
-0.5625 -6.1875
-8.25 1.09375
5.6875 0.8125
7.34375 -3.09375
1.53125 -13.53125
-0.8125 -5.84375
-8.03125 -6.15625
-0.0625 -7.46875
-1.875 -3.3125
0.1875 2.40625
4.90625 1.71875
4.0 1.40625
1.5625 -6.09375
0.46875 -2.96875
-2.03125 6.40625
6.0 6.78125
10.53125 4.625
5.59375 6.65625
0.5625 6.9375
-0.15625 8.4375
-1.40625 0.84375
-1.09375 -3.125
-7.4375 -2.375
-4.0625 3.1875
-2.84375 5.15625
7.25 -0.15625
7.34375 1.1875
-1.6875 4.34375
6.375 5.71875
4.78125 -3.03125
8.5625 2.625
11.3125 6.375
-2.6875 -0.09375
-7.375 5.6875
6.71875 4.8125
1.3125 1.71875
-5.5 1.5
-7.25 12.90625
-11.1875 4.15625
2.875 -4.625
5.90625 -6.15625
8.0625 -6.28125
10.65625 -5.09375
2.4375 -4.8125
1.0625 -3.25
6.03125 -1.0625
3.5625 3.375
7.3125 3.25
2.90625 2.1875
-3.8125 0.75
5.53125 -1.90625
3.71875 3.625
3.78125 -1.21875
-0.5625 -4.6875
0.0625 -7.46875
-6.0625 8.59375
-3.6875 -4.34375
4.90625 -0.65625
-5.1875 -2.625
-2.09375 6.0
-7.3125 3.03125
-0.90625 -9.53125
5.0625 -4.90625
4.21875 -7.40625
8.34375 -7.40625
3.8125 -2.84375
2.84375 -2.40625
4.96875 -8.90625
-0.25 -0.4375
-1.15625 -5.90625
2.03125 -11.46875
-0.375 -10.625
-3.5 -3.71875
11.15625 -5.53125
-5.59375 1.125
-3.125 -6.15625
6.25 -9.34375
-1.0 -8.15625
-1.84375 -1.71875
4.1875 -7.03125
-1.875 3.75
-7.125 0.5625
4.0625 -1.625
7.625 11.21875
-6.625 11.3125
-3.34375 2.5625
5.3125 2.5625
4.46875 -3.8125
3.6875 12.625
-15.53125 -2.15625
0.25 -6.40625
7.0625 5.15625
9.09375 4.625
5.65625 -0.84375
5.28125 -1.375
0.4375 6.84375
1.9375 1.90625
3.46875 -3.25
7.5 -3.4375
-1.09375 5.90625
0.9375 0.3125
4.78125 -0.875
11.90625 -5.03125
9.96875 -0.5625
3.625 2.1875
-0.84375 -3.90625
1.625 -5.21875
-7.625 0.65625
-2.0 -1.59375
-8.28125 5.59375
-10.6875 3.8125
-2.8125 2.5
-3.4375 -4.40625
6.28125 -6.59375
-0.5 4.96875
-6.875 6.375
0.59375 0.59375
-1.09375 -3.5625
-3.5 -2.0
-0.71875 4.8125
1.15625 5.40625
-3.875 -1.96875
-3.09375 -3.3125
-1.65625 4.90625
-9.59375 4.4375
0.875 -1.5
10.25 -0.0625
-8.0625 0.5
-5.0625 -7.34375
1.84375 6.65625
-3.15625 0.5
7.59375 -7.8125
9.03125 -0.96875
5.6875 -2.4375
3.34375 -6.21875
-5.28125 -10.46875
-2.0625 -2.125
-7.15625 -1.96875
-0.75 -2.5
-1.15625 9.625
-2.59375 4.9375
4.5 -3.9375
3.21875 -2.1875
-0.28125 -3.03125
3.03125 6.125
4.0 5.15625
2.0 -3.0
3.09375 1.1875
5.0625 2.46875
-1.78125 6.3125
-15.3125 -3.53125
-14.625 1.0625
-20.5 -3.96875
-12.96875 -1.0
-0.78125 6.5625
1.5 4.96875
4.8125 -1.34375
-3.4375 -1.3125
-4.0 -4.625
3.75 -3.25
9.375 3.84375
5.34375 5.5
-2.53125 -0.21875
2.25 -2.0
0.21875 7.0
-4.0625 8.59375
-9.65625 -0.375
-4.0 -5.46875
-2.875 5.46875
-0.53125 7.0
12.6875 7.8125
6.625 13.0625
-7.8125 -0.90625
-1.65625 2.21875
-1.8125 3.4375
7.0 -7.40625
15.6875 0.09375
3.90625 9.34375
-5.5 10.15625
-3.21875 6.4375
0.78125 0.34375
-3.71875 -2.625
-0.8125 -4.5625
-0.03125 8.25
-4.71875 0.5
0.65625 -10.6875
-5.625 2.65625
-2.5625 5.96875
1.1875 0.28125
2.71875 -0.90625
-3.84375 -1.1875
-9.46875 1.46875
-15.90625 -5.0625
-7.0 -6.84375
-10.875 3.46875
-6.15625 -1.09375
6.5625 7.0625
5.75 -4.6875
11.15625 -10.0
2.78125 -12.5
5.65625 -16.0625
8.46875 0.5625
-0.78125 6.125
-1.4375 -10.5
6.875 1.96875
11.0 -3.5625
8.21875 -2.15625
-9.03125 7.5
-8.78125 1.28125
-8.625 0.71875
0.4375 -2.8125
7.84375 -4.59375
-11.6875 0.28125
-3.46875 0.25
5.90625 8.03125
6.375 4.84375
-0.84375 -0.46875
-1.3125 -3.875
6.125 5.46875
-7.125 10.03125
-1.40625 -7.0
-4.71875 8.78125
-12.1875 0.90625
5.5 -5.78125
-2.125 -5.03125
-13.65625 -7.53125
2.125 -2.34375
-0.53125 4.125
-2.0 2.875
-4.375 4.09375
2.125 2.96875
2.59375 2.09375
-2.15625 2.8125
-0.46875 4.625
5.78125 2.90625
-0.90625 5.125
5.6875 -1.375
7.34375 0.1875
-0.4375 -1.71875
-6.25 5.25
4.59375 11.9375
-5.5625 -2.84375
-2.5625 -12.84375
-15.34375 5.28125
-9.3125 -7.875
11.625 -5.65625
13.90625 8.53125
7.0625 5.21875
5.09375 17.0
-0.25 14.375
4.59375 1.4375
1.875 0.0625
-3.875 8.9375
0.28125 6.125
6.21875 0.8125
-0.46875 -6.59375
-8.71875 -7.1875
-13.25 -1.65625
-9.34375 -10.15625
3.1875 0.125
-10.0 6.03125
-3.65625 -3.90625
4.5625 2.75
2.09375 -5.84375
9.03125 -3.15625
5.3125 2.03125
-1.34375 -1.84375
-7.78125 -6.46875
-1.90625 0.90625
8.53125 -2.78125
9.90625 -11.25
4.1875 -3.75
-1.375 5.8125
0.15625 2.09375
-6.0 -2.1875
6.46875 -8.75
3.375 -1.65625
-0.6875 2.6875
-0.59375 5.5
-2.125 0.625
-2.09375 -3.0
-2.21875 -1.4375
-3.875 -3.4375
-11.03125 -7.6875
-0.8125 -3.09375
-0.5625 11.15625
-11.90625 1.9375
-0.125 -4.125
-5.96875 -1.5625
2.71875 -2.8125
0.4375 0.28125
3.25 -0.6875
-2.40625 -1.78125
-5.34375 -5.90625
-9.28125 0.875
4.1875 -2.5
11.3125 -2.34375
10.75 -7.03125
13.96875 -0.5
3.90625 -1.5625
-1.375 -4.59375
3.46875 -2.09375
0.0625 -2.125
4.28125 -0.5625
12.21875 -3.125
6.59375 -4.0625
-6.1875 -4.59375
-1.1875 0.125
-7.6875 4.84375
-7.5 -2.21875
-7.15625 -7.875
0.15625 -7.875
-2.25 2.8125
-0.8125 4.40625
4.34375 -5.28125
10.53125 1.28125
7.0 -1.40625
4.8125 -4.53125
3.09375 -0.9375
6.65625 -6.65625
2.84375 -7.4375
-6.34375 -3.40625
5.71875 -1.90625
5.90625 -3.9375
0.40625 -5.46875
-7.53125 -3.4375
-1.8125 -10.5
4.25 -4.875
-0.40625 -1.21875
-2.40625 5.28125
-13.96875 0.1875
-8.3125 -0.90625
1.8125 2.0
4.09375 -3.5625
3.65625 0.28125
0.8125 4.15625
-4.5 9.3125
-6.1875 10.5
-13.90625 1.625
-5.875 1.625
1.84375 1.53125
-0.8125 -9.5
0.625 -6.15625
1.5625 14.03125
6.1875 11.9375
-4.5625 1.65625
-17.125 4.1875
-9.8125 -1.15625
2.1875 1.375
4.0 6.75
0.0625 6.03125
0.625 4.75
-0.78125 6.4375
-0.34375 0.09375
