[PARAMETERS]
TAU=34u
NS=32
NSC=32
FR=25.9800011
D1=3u
D2=3u
[ADDITIONAL]
File Name=Data2
-11.25 -0.03125
-0.40625 3.1875
0.53125 8.3125
-2.78125 -1.0
0.34375 -2.53125
5.59375 0.375
12.875 -0.84375
-15.6875 -11.03125
-16.875 -12.5
-0.4375 2.15625
3.375 1.1875
5.1875 -3.84375
1.5625 -7.78125
-4.0625 -11.3125
-4.9375 -3.78125
1.5625 9.5625
-8.34375 10.65625
-9.9375 -0.625
-1.3125 1.8125
0.40625 16.0625
-3.96875 14.46875
-2.28125 -0.90625
-3.125 -6.65625
-1.3125 2.21875
5.90625 0.46875
0.03125 -0.21875
-8.84375 -0.65625
0.40625 6.5
-2.53125 4.4375
-8.90625 -0.40625
-4.09375 4.71875
3.46875 -9.21875
0.15625 -13.84375
-8.03125 1.875
-4.125 0.5625
2.15625 1.03125
9.0625 5.84375
5.53125 10.9375
0.46875 -4.78125
-3.59375 -2.0
-15.34375 5.0625
-6.21875 3.90625
9.75 -3.125
1.15625 -1.8125
-1.25 -2.28125
1.71875 -1.78125
-1.40625 -5.09375
-0.90625 -5.15625
-4.875 0.71875
1.0625 1.0
11.21875 5.5625
7.84375 9.0
-1.34375 0.125
-4.0 -3.3125
-9.375 0.5625
-5.90625 0.5625
-3.0625 -7.90625
6.0625 -12.0625
14.46875 -1.9375
15.34375 -0.46875
7.375 0.0625
-6.75 -2.75
-6.5 -3.3125
-12.15625 -5.125
-1.46875 -9.625
2.46875 -18.0625
14.65625 4.09375
-0.5625 5.8125
11.4375 -10.90625
3.71875 -0.78125
-16.71875 -0.3125
-11.625 -12.1875
-0.875 -3.8125
7.84375 -6.5625
2.78125 -9.40625
2.25 -4.21875
7.40625 8.21875
5.28125 4.09375
4.21875 -11.75
-1.53125 -11.25
-3.21875 -7.84375
1.625 4.6875
-3.0 11.1875
2.15625 4.65625
3.40625 -5.09375
8.71875 -2.03125
4.8125 6.78125
6.34375 1.0625
-2.84375 1.53125
-9.84375 -2.3125
-5.46875 0.59375
-0.375 2.0
6.46875 -0.15625
5.59375 -6.40625
13.53125 -1.125
3.84375 11.1875
-6.375 1.65625
-0.96875 -5.75
9.09375 -3.28125
0.5625 -7.21875
0.15625 -17.5625
-2.09375 -6.8125
-5.6875 4.40625
-2.5625 3.3125
